"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.370624924E-3,-1.686445168E-1,3.945911622E-1,2.793203223E0
1.736362488E-2,-2.086280698E-1,-2.454140729E-1,2.580948710E0
2.735762484E-2,-2.256554541E-1,-5.458896214E-1,2.255656409E0
3.735062480E-2,-1.921854070E-1,-5.194163525E-1,1.747652067E0
4.734362499E-2,7.941074342E-2,-3.819950902E-1,1.109027359E0
5.733762495E-2,4.838597265E-1,-2.673481482E-1,4.935166955E-1
6.733062491E-2,7.033741423E-1,-1.919588274E-1,3.138270807E-1
7.732362486E-2,8.204152268E-1,-1.255783117E-1,2.545947862E-1
8.731762483E-2,8.690444729E-1,-1.298181278E-1,3.521643502E-1
9.731062502E-2,7.293600458E-1,-2.759248441E-1,6.064936727E-1
1.073036250E-1,4.497301134E-1,-5.451189584E-1,7.204892349E-1
1.172976249E-1,1.351314926E-1,-7.751115847E-1,8.164361966E-1
1.272906249E-1,-9.309819818E-2,-1.172041633E0,8.495156497E-1
1.372846249E-1,-1.936568588E-1,-1.509864517E0,7.921187961E-1
1.472776248E-1,-2.504251367E-1,-1.596137846E0,8.268945265E-1
1.572706250E-1,-2.253680634E-1,-1.485419648E0,8.456430387E-1
1.672646250E-1,-9.792536706E-2,-1.323727178E0,7.476670933E-1
1.772576249E-1,2.826178595E-2,-1.098856128E0,6.129443210E-1
1.872506249E-1,4.578135967E-2,-8.148135942E-1,4.407490826E-1
1.972446248E-1,1.295816079E-2,-5.843333101E-1,1.204579049E-1
2.072376248E-1,-9.078226224E-2,-5.215926862E-1,-3.115688860E-1
2.172306250E-1,-2.996015359E-1,-6.230822235E-1,-5.926258314E-1
2.272246249E-1,-4.543768957E-1,-6.781466228E-1,-4.692185909E-1
2.372176249E-1,-5.423992722E-1,-6.920700127E-1,-2.811119092E-1
2.472106249E-1,-5.258054589E-1,-8.486292118E-1,-1.942760789E-1
2.572046248E-1,-3.444588894E-1,-9.826690292E-1,-2.459023154E-1
2.671976250E-1,-1.509733540E-1,-9.732023871E-1,-3.475491428E-1
2.771916250E-1,-1.342491478E-2,-8.991801453E-1,-4.392960495E-1
2.871846249E-1,1.571202394E-1,-8.058047891E-1,-5.216178292E-1
2.971776249E-1,2.280539820E-1,-6.690805149E-1,-6.796587127E-1
3.071716249E-1,2.043435225E-1,-4.417091954E-1,-6.948538721E-1
3.171646248E-1,2.362266353E-1,-2.378927994E-1,-6.287557769E-1
3.271576250E-1,3.505585586E-1,-1.252210468E-1,-5.445038313E-1
3.371516250E-1,4.098754916E-1,-1.386883539E-1,-6.287475908E-1
3.471446249E-1,2.815855336E-1,-2.741040212E-1,-8.268261141E-1
3.571376249E-1,1.714356852E-1,-4.333412451E-1,-1.047977750E0
3.671316248E-1,5.079812452E-2,-5.643715006E-1,-1.084807608E0
3.771246248E-1,1.923383117E-2,-6.294796622E-1,-9.111645985E-1
3.871176250E-1,7.130153239E-2,-6.855813575E-1,-8.186306566E-1
3.971116249E-1,1.248137882E-1,-6.322524118E-1,-7.642147136E-1
4.071046249E-1,8.353829294E-2,-3.815489477E-1,-5.493938577E-1
4.170986249E-1,7.301505893E-2,-6.158170581E-2,-3.898215884E-1
4.270916248E-1,2.307276213E-1,2.402889884E-1,-3.093077677E-1
4.370846250E-1,5.509436622E-1,4.248621976E-1,-1.711228591E-1
4.470786250E-1,8.085158506E-1,5.182796538E-1,1.045482159E-3
4.570716249E-1,8.453489238E-1,6.184927440E-1,1.087582111E-3
4.670646249E-1,6.444725078E-1,6.070479888E-1,-1.825073880E-1
4.770586248E-1,3.710444248E-1,5.014759254E-1,-4.274963683E-1
4.870516248E-1,1.069061056E-1,4.237845558E-1,-6.628637552E-1
4.970446250E-1,-1.445808855E-1,4.257819647E-1,-6.842593020E-1
5.070386250E-1,-2.638909820E-1,4.415554136E-1,-5.445950478E-1
5.170316249E-1,-1.421358722E-1,4.942335641E-1,-1.563679951E-1
5.270246249E-1,8.596649542E-2,7.375923407E-1,2.524728316E-1
5.370186248E-1,1.835129629E-1,1.010111766E0,5.291110361E-1
5.470116248E-1,2.424226373E-1,1.179631904E0,6.423406130E-1
5.570046250E-1,3.736943829E-1,1.165771079E0,5.785357958E-1
5.669986249E-1,4.984932607E-1,9.712482476E-1,7.242916793E-1
5.769916249E-1,5.790228689E-1,8.830336440E-1,9.794898981E-1
5.869856249E-1,4.485671023E-1,7.738053167E-1,8.753521568E-1
5.969786248E-1,4.492415786E-3,6.442959219E-1,3.504177868E-1
6.069716250E-1,-5.031496909E-1,5.570496172E-1,-3.634056222E-1
6.169656250E-1,-8.180333635E-1,4.222233492E-1,-9.144004476E-1
6.269586249E-1,-9.791086596E-1,3.660479790E-1,-9.516530585E-1
6.369516249E-1,-9.661816353E-1,3.989929461E-1,-2.504695755E-1
6.469456248E-1,-7.555703361E-1,5.785012972E-1,8.629022652E-1
6.569386248E-1,-3.662590635E-1,6.251427823E-1,1.811200776E0
6.669316250E-1,-6.445868209E-2,4.167503554E-1,2.254268280E0
6.769256250E-1,-6.564669013E-2,1.523334163E-1,2.085025300E0
6.869186249E-1,-3.650883047E-1,-1.118361855E-1,1.632047351E0
6.969116249E-1,-6.265614630E-1,-4.659552598E-1,1.330110583E0
7.069056248E-1,-6.629323138E-1,-8.881236452E-1,1.264661529E0
7.168986248E-1,-7.866646595E-1,-1.282635870E0,1.044562976E0
7.268926250E-1,-9.550445898E-1,-1.441491271E0,7.367398167E-1
7.368856249E-1,-9.226222175E-1,-1.431433475E0,6.566323775E-1
7.468786249E-1,-1.306544989E0,-1.299548357E0,9.626124948E-1
7.568726249E-1,-1.264154283E0,-1.145319273E0,1.338498414E0
7.668656248E-1,-7.567824639E-1,-1.254802539E0,1.586801596E0
7.768550832E-1,-3.117390400E-1,-1.518545879E0,1.388308505E0
7.868490831E-1,-2.093276891E-1,-1.724799979E0,1.068322552E0
7.968420833E-1,-3.240249172E-1,-1.756298929E0,6.068076682E-1
8.068350833E-1,-5.375690335E-1,-1.715049162E0,1.921225494E-1
8.168290833E-1,-6.906033848E-1,-1.548194185E0,-1.577625561E-1
8.268220832E-1,-6.180673590E-1,-1.326736740E0,-2.131818813E-1
8.368150832E-1,-3.704813379E-1,-1.061678946E0,7.264229894E-2
8.468090831E-1,-1.912711948E-2,-8.939556581E-1,4.349053752E-1
8.568020833E-1,4.302090378E-1,-8.806941730E-1,6.241160113E-1
8.667960833E-1,8.233424892E-1,-8.861040169E-1,5.749806887E-1
