"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.154941559E-3,6.495656532E1,2.553060877E1,1.575168800E1,NaN,NaN,2.415200085E1,1.614363861E1
4.257320166E-1,6.495656532E1,2.553060877E1,1.548855686E1,NaN,NaN,2.415200085E1,1.469456673E1
1.962044001E0,6.495656532E1,2.553060877E1,1.525799561E1,NaN,NaN,2.415200085E1,1.526184464E1
2.123474002E0,6.495632117E1,2.553063425E1,1.423708344E1,1.519999981E0,1.532812500E2,6.393046389E0,6.000000000E0
3.104636073E0,6.495630315E1,2.553065563E1,1.527268791E1,1.519999981E0,NaN,1.055172616E1,6.000000000E0
4.107983947E0,6.495631501E1,2.553061984E1,1.357484627E1,1.519999981E0,2.302734375E2,5.420756564E0,4.000000000E0
5.109944940E0,6.495633027E1,2.553059519E1,1.234191513E1,8.999999762E-1,2.302734375E2,4.883722769E0,4.000000000E0
6.118909001E0,6.495633182E1,2.553060114E1,1.334496880E1,3.799999952E-1,2.302734375E2,4.315919064E0,4.000000000E0
7.120432973E0,6.495636845E1,2.553054381E1,1.120142365E1,8.799999952E-1,2.742187500E2,4.624011190E0,4.000000000E0
8.112986922E0,6.495636224E1,2.553054306E1,8.657909393E0,8.799999952E-1,2.742187500E2,4.375866351E0,4.000000000E0
9.120661855E0,6.495632411E1,2.553057902E1,9.388782501E0,8.799999952E-1,1.669921875E2,4.321870652E0,3.000000000E0
1.011969006E1,6.495647804E1,2.553059662E1,7.605945587E0,0.000000000E0,NaN,6.903702162E0,8.000000000E0
1.135079801E1,6.495634879E1,2.553065144E1,5.039327621E0,1.490000010E0,1.676953125E2,3.535533906E0,3.000000000E0
1.234875000E1,6.495633458E1,2.553064322E1,3.152427673E0,1.490000010E0,1.982812500E2,3.535533906E0,4.000000000E0
1.334747994E1,6.495632138E1,2.553068806E1,3.949396133E0,1.490000010E0,1.367578125E2,3.535533906E0,4.000000000E0
1.435531044E1,6.495631157E1,2.553070984E1,3.949407822E0,1.490000010E0,1.367578322E2,4.485592548E0,4.084365675E0
1.535013092E1,6.495631204E1,2.553066210E1,3.703476106E0,1.039999962E0,1.381640757E2,4.659831856E0,3.480014957E0
1.634658349E1,6.495630095E1,2.553067356E1,4.710510522E0,1.610000014E0,1.378125207E2,4.659831805E0,3.480015027E0
1.734798753E1,6.495629241E1,2.553066333E1,5.391594106E0,1.159999967E0,1.378125150E2,4.659831751E0,3.480015099E0
1.834895277E1,6.495628827E1,2.553064640E1,6.785017185E0,1.159999967E0,1.378125150E2,4.659831731E0,3.480015126E0
1.934820294E1,6.495627026E1,2.553065690E1,6.491520102E0,1.159999967E0,1.381640773E2,4.659831630E0,3.480015260E0
